Uploaded,Type,Status,Date,Vehicle,Purpose of trip,Start odometer*,End odometer*,Start location#,End location#,Trip details,Trip distance*,Record multiple trips*,Record the return journey*,Total Km,Logbook trip
Not uploaded,Employee,Completed,01/07/2026,FYN93N,Employee - work,120,197,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Visit Parramatta HQ before IKEA Marsden Park trip,38.61,1,Yes,77.22,Y
Not uploaded,Employee,Completed,01/07/2026,FYN93N,Employee - work,197,242,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,"Ikea Marsden Park, Hollinsworth, Marsden Park NSW, Australia",Travel from Parramatta HQ to IKEA Marsden Park,22.62,1,Yes,45.24,Y
Not uploaded,Employee,Completed,01/07/2026,FYN93N,Employee - work,255,300,"Ikea Marsden Park, Hollinsworth, Marsden Park NSW, Australia",Edu-Kingdom College High Street Penrith NSW Australia,Return from IKEA Marsden Park to Penrith,22.62,1,Yes,45.24,Y
Not uploaded,Employee,Completed,03/07/2026,FYN93N,Employee - work,300,377,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Visit Parramatta HQ before IKEA Marsden Park trip,38.61,1,Yes,77.22,Y
Not uploaded,Employee,Completed,03/07/2026,FYN93N,Employee - work,377,423,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,"Ikea Marsden Park, Hollinsworth, Marsden Park NSW, Australia",Travel from Parramatta HQ to IKEA Marsden Park,22.62,1,Yes,45.24,Y
Not uploaded,Employee,Completed,03/07/2026,FYN93N,Employee - work,430,476,"Ikea Marsden Park, Hollinsworth, Marsden Park NSW, Australia",Edu-Kingdom College High Street Penrith NSW Australia,Return from IKEA Marsden Park to Penrith,22.62,1,Yes,45.24,Y
Not uploaded,Employee,Completed,05/07/2026,FYN93N,Employee - work,476,537,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,Y
Not uploaded,Employee,Completed,06/07/2026,FYN93N,Employee - work,550,627,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,Y
Not uploaded,Employee,Completed,12/07/2026,FYN93N,Employee - work,639,700,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,Y
Not uploaded,Employee,Completed,13/07/2026,FYN93N,Employee - work,713,790,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,Y
Not uploaded,Employee,Completed,19/07/2026,FYN93N,Employee - work,790,852,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,Y
Not uploaded,Employee,Completed,20/07/2026,FYN93N,Employee - work,852,929,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,Y
Not uploaded,Employee,Completed,26/07/2026,FYN93N,Employee - work,929,991,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,Y
Not uploaded,Employee,Completed,27/07/2026,FYN93N,Employee - work,991,1068,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,Y
