Date: 20/09/2026 15:33:26
ATO app - myDeductions

Trips
Uploaded,Type,Status,Date,Vehicle,Purpose of trip,Start odometer*,End odometer*,Start location#,End location#,Trip details,Trip distance*,Record multiple trips*,Record the return journey*,Total Km,Logbook trip
Not uploaded,Employee,Completed,12/06/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,12/06/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,26/06/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,28/06/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,03/07/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,09/07/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,10/07/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,17/07/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,24/07/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,26/07/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,30/07/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,31/07/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,02/08/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,07/08/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,13/08/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,14/08/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,16/08/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,21/08/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,25/08/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,IKEA Rhodes Merchandise Pick Up Leeds Street Rhodes NSW Australia,Checked furnitures for office,45.40,1,Yes,90.8,N
Not uploaded,Employee,Completed,27/08/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,28/08/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,30/08/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,03/09/2023,EYO19Q,Employee - work,,,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
