Uploaded,Type,Status,Date,Vehicle,Purpose of trip,Start odometer*,End odometer*,Start location#,End location#,Trip details,Trip distance*,Record multiple trips*,Record the return journey*,Total Km,Logbook trip
Not uploaded,Employee,Completed,01/05/2026,FYN93N,Employee - work,120,197,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Visit Parramatta HQ before IKEA Marsden Park trip,38.61,1,Yes,77.22,Y
Not uploaded,Employee,Completed,01/05/2026,FYN93N,Employee - work,197,242,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,"Ikea Marsden Park, Hollinsworth, Marsden Park NSW, Australia",Travel from Parramatta HQ to IKEA Marsden Park,22.62,1,Yes,45.24,Y
Not uploaded,Employee,Completed,01/05/2026,FYN93N,Employee - work,253,298,"Ikea Marsden Park, Hollinsworth, Marsden Park NSW, Australia",Edu-Kingdom College High Street Penrith NSW Australia,Return from IKEA Marsden Park to Penrith,22.62,1,Yes,45.24,Y
Not uploaded,Employee,Completed,03/05/2026,FYN93N,Employee - work,298,360,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,04/05/2026,FYN93N,Employee - work,360,437,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,10/05/2026,FYN93N,Employee - work,437,498,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,11/05/2026,FYN93N,Employee - work,498,653,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,2,Yes,154.44,N
Not uploaded,Employee,Completed,17/05/2026,FYN93N,Employee - work,653,714,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,18/05/2026,FYN93N,Employee - work,714,792,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,1,Yes,77.22,N
Not uploaded,Employee,Completed,23/05/2026,FYN93N,Employee - work,298,375,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Visit Parramatta HQ before Lidcombe shopping trip,38.61,1,Yes,77.22,Y
Not uploaded,Employee,Completed,23/05/2026,FYN93N,Employee - work,389,468,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,"KMall09 Lidcombe Shopping Centre, Parramatta Road, Lidcombe NSW, Australia",Travel from Parramatta HQ to KMall09 Lidcombe,39.4,1,Yes,78.8,Y
Not uploaded,Employee,Completed,23/05/2026,FYN93N,Employee - work,475,554,"KMall09 Lidcombe Shopping Centre, Parramatta Road, Lidcombe NSW, Australia",Edu-Kingdom College High Street Penrith NSW Australia,Return from KMall09 Lidcombe to Penrith,39.4,1,Yes,78.8,Y
Not uploaded,Employee,Completed,24/05/2026,FYN93N,Employee - work,792,853,Edu-Kingdom College High Street Penrith NSW Australia,Five Senses Education Prospect Highway Seven Hills NSW Australia,Buying books ,30.79,1,Yes,61.58,N
Not uploaded,Employee,Completed,25/05/2026,FYN93N,Employee - work,853,1008,Edu-Kingdom College High Street Penrith NSW Australia,Edu-Kingdom College Sorrell Street Parramatta NSW Australia,Regular Visit to HQ,38.61,2,Yes,154.44,N
